image,user,x,y,w,h,class,volInImg
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.8004865593,0.0645802222,0.0301926951,0.0159131861,1,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.2647881296,0.2100878506,0.0233983150,0.0448842006,1,4
0000001-X-20061214-141834-X0000001C-3,justalittlefroggy,0.4411221782,0.3298905634,0.0251227208,0.0284873858,1,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.6965262769,0.3762750848,0.0776866949,0.0729414310,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.4819402139,0.5130401881,0.1373729550,0.1495297985,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.2863021611,0.5999620580,0.0947399941,0.1410200345,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.1034540039,0.6674328142,0.0871607718,0.1665495230,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.9191651921,0.1562351831,0.1231619808,0.2018045439,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.4227277128,0.0796467282,0.0511595914,0.1094120759,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.2512483794,0.1331370684,0.0568439926,0.1240003897,0,4
0000001-X-20061214-141834-X0000001C-3,ruirasjudith,0.0882956047,0.1884509736,0.0378959919,0.1373729629,0,4
0000001-X-20070110-113606-X0000005A-3,EVerse1,0.5910273404,0.4246599836,0.1052610650,0.0558306455,1,4
0000001-X-20070110-113606-X0000005A-3,EVerse1,0.8293010219,0.6032431547,0.2044255258,0.1756216834,0,4
0000001-X-20070110-113606-X0000005A-3,EVerse1,0.5411767792,0.5972953957,0.1514478863,0.2013558104,0,4
0000001-X-20070110-113606-X0000005A-3,chrispsimmons,0.7104675196,0.4792385219,0.1261405884,0.1145823400,1,4
0000001-X-20070110-113606-X0000005A-3,chrispsimmons,0.6114538944,0.4303570760,0.0583230343,0.0651752109,1,4
0000001-X-20070110-113606-X0000005A-3,gracelltt,0.5460252290,0.5390795318,0.0868051337,0.0974720506,0,4
0000001-X-20070110-113606-X0000005A-3,gracelltt,0.8346076978,0.5908238207,0.1938328112,0.0915242915,0,4
0000001-X-20070110-113606-X0000005A-3,kavita.jaiswal,0.5580151085,0.5007985684,0.0574090158,0.0913925265,0,4
0000001-X-20070110-113606-X0000005A-3,kavita.jaiswal,0.6914520994,0.4623175622,0.1411949535,0.2236711764,1,4
0000001-X-20070201-154949-X00000026-3,moiraparodi,0.3059567728,0.3041763610,0.0211665057,0.0554388462,1,4
0000001-X-20070201-154949-X00000026-3,moiraparodi,0.1890807098,0.6285525335,0.0322099356,0.0672343894,1,4
0000001-X-20070201-154949-X00000026-3,moiraparodi,0.2217507843,0.6338604731,0.0331302135,0.0636956656,1,4
0000001-X-20070201-154949-X00000026-3,AC7733,0.1309824714,0.2131514858,0.0650609303,0.1878226875,0,4
0000001-X-20070201-154949-X00000026-3,AC7733,0.3060997741,0.3078421846,0.0200655356,0.0280564925,1,4
0000001-X-20070201-154949-X00000026-3,AC7733,0.4894256972,0.3164150058,0.0218896925,0.0264978066,1,4
0000001-X-20070201-154949-X00000026-3,AC7733,0.1899629548,0.6234778475,0.0346586197,0.0389673670,1,4
0000001-X-20070201-154949-X00000026-3,AC7733,0.2215813510,0.6254261988,0.0200655166,0.0381879875,1,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.6284820633,0.3272675364,0.2617805832,0.1847848367,1,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.4141254734,0.3230126359,0.1688294749,0.2346281522,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.2263263451,0.3059929667,0.1991808881,0.2103143739,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.8475810392,0.5783075209,0.2541927276,0.1325101982,1,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.5563975485,0.6068762606,0.3224833145,0.1823534650,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.3320819194,0.6500332308,0.1868506369,0.1835691995,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.7294952279,0.6281508121,0.1014874032,0.3172950836,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.3932588988,0.6372684805,0.0929510703,0.2747459320,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.2083052164,0.6816411852,0.0663936325,0.2565105953,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.1490252009,0.1613258520,0.0654451553,0.1932946926,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.3150092727,0.2439927895,0.0597542731,0.3221578697,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.5056538279,0.2324437098,0.0616511705,0.2552948850,0,4
0000001-X-20070201-154949-X00000026-3,gmsindac,0.7698056422,0.1892867488,0.1043328728,0.2297654148,0,4
0000001-X-20070201-154949-X00000026-3,Ellq,0.4052945870,0.7164607432,0.0691988554,0.1355045255,0,4
0000001-X-20070201-154949-X00000026-3,Ellq,0.7407168796,0.6394695456,0.0499769237,0.0800708670,1,4
0000001-X-20070201-154949-X00000026-3,Ellq,0.2092310904,0.6271509656,0.0595879276,0.0603611391,1,4
0000001-X-20070201-154949-X00000026-3,Ellq,0.2082700052,0.7004465893,0.0845764084,0.1724602653,0,4
0000001-X-20070201-154949-X00000026-3,Ellq,0.3231209248,0.2483543159,0.0432492799,0.1355044768,0,4
0000001-X-20070201-154949-X00000026-3,Ellq,0.1395516829,0.1806020836,0.0432492894,0.1502868092,0,4
0000001-X-20070213-183536-X0000001E-3,chrispsimmons,0.2325770141,0.8112055223,0.0880353891,0.0900046851,1,5
0000001-X-20070213-183536-X0000001E-3,chrispsimmons,0.5719391890,0.4706321645,0.2186685064,0.1577860324,1,5
0000001-X-20070213-183536-X0000001E-3,chrispsimmons,0.7771183913,0.1450596420,0.3365223393,0.2533465317,1,5
0000001-X-20070213-183536-X0000001E-3,gracelltt,0.1653961072,0.8556520836,0.1918142161,0.1480349342,1,5
0000001-X-20070213-183536-X0000001E-3,Ujjawala,0.3173921792,0.7345236520,0.2423442913,0.1264317593,0,5
0000001-X-20070213-183536-X0000001E-3,divya.sharm,0.2166047400,0.8534081955,0.3361187406,0.2245388708,1,5
0000001-X-20070213-183536-X0000001E-3,Harshavardhani,0.3215874836,0.7354009610,0.0565904265,0.1932439976,0,5
0000001-X-20070306-170439-X0000003B-3,Kacey-Han,0.2668735034,0.3640434763,0.0834762174,0.1444048517,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.2777969816,0.1724034662,0.0910754934,0.1551080315,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.5246220039,0.1715129818,0.0468054138,0.1934768960,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.6940907708,0.1568514649,0.0444050904,0.1945137497,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.0780236777,0.7427068398,0.0568300250,0.1721400431,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.3432390966,0.7281636031,0.1182060384,0.1194029139,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.6215993803,0.7923578328,0.0492779077,0.2279247988,1,2
0000001-X-20070306-170439-X0000003B-3,smmunoz55,0.7985657422,0.8294022135,0.0573528285,0.2172014481,1,2
0000001-X-20070511-100504-X0000005B-3,chrispsimmons,0.5510491493,0.5204001119,0.1417310807,0.1292992780,1,2
0000001-X-20070511-100504-X0000005B-3,chrispsimmons,0.1633250741,0.4441870982,0.0488728028,0.0462534026,1,2
0000001-X-20070511-100504-X0000005B-3,Li102,0.5589665523,0.5186810831,0.0936749256,0.0711130698,1,2
0000001-X-20070515-160012-X00000017-3,Debreziner,0.7849747915,0.5660102422,0.3343356662,0.2912371193,1,7
0000001-X-20070515-160012-X00000017-3,chrispsimmons,0.7646697756,0.5545645572,0.3261991471,0.2754180131,1,7
0000001-X-20070515-160012-X00000017-3,JulianMudge-Burns,0.6105328999,0.2418604934,0.2719864618,0.0859663675,1,7
0000001-X-20070515-160012-X00000017-3,Annete.gonzalez,0.8305767241,0.3594920251,0.3388465518,0.3102861953,1,7
0000001-X-20070515-160012-X00000017-3,amandanicoletta,0.4403050014,0.3334890002,0.1219542488,0.2210908064,1,7
0000001-X-20070515-160012-X00000017-3,Ujjawala,0.8360318865,0.3132930587,0.2701256646,0.2711040148,0,7
0000001-X-20070515-160012-X00000017-3,ruirasjudith,0.6559238494,0.5331091824,0.1117761037,0.1264341555,1,7
0000001-X-20070515-160012-X00000017-3,ruirasjudith,0.4385813153,0.3866157603,0.0931467692,0.0984727327,0,7
0000001-X-20070515-160012-X00000017-3,ruirasjudith,0.3058471922,0.5501291525,0.1692166767,0.1507484526,1,7
0000001-X-20070515-160012-X00000017-3,ruirasjudith,0.0628893663,0.3847922354,0.0993565862,0.0729427776,0,7
0000001-X-20070625-172022-X00000050-3,chrispsimmons,0.4687213555,0.3116363156,0.0433062786,0.0713552413,1,3
0000001-X-20070625-172022-X00000050-3,nehatilve1,0.5513369234,0.7344066497,0.0386674553,0.1371787779,0,3
0000001-X-20070625-172022-X00000050-3,nehatilve1,0.7335427196,0.7115435200,0.0492131043,0.1341303672,0,3
0000001-X-20070625-172022-X00000050-3,andrven,0.2304746719,0.8338344943,0.1146258776,0.2708660495,0,3
0000001-X-20070625-172022-X00000050-3,andrven,0.5361962694,0.8513174980,0.1034432758,0.2292320498,0,3
0000001-X-20070625-172022-X00000050-3,andrven,0.7311903498,0.8557243593,0.1168160672,0.2393457228,0,3
0000001-X-20070625-172022-X00000050-3,andrven,0.7922667889,0.0886217098,0.0662269663,0.1614919762,0,3
0000001-X-20070625-172022-X00000050-3,andrven,0.6352673960,0.0837471241,0.0709801028,0.1598131022,0,3
0000001-X-20070625-172022-X00000050-3,andrven,0.4745129031,0.1021382351,0.0790116936,0.1832449905,0,3
0000001-X-20070627-164034-X00000021-3,chrispsimmons,0.5668600827,0.3304455050,0.0424525149,0.0511128760,1,2
0000001-X-20070627-164034-X00000021-3,chrispsimmons,0.4529312979,0.6360116580,0.0242585691,0.0288898441,1,2
0000001-X-20070627-164034-X00000021-3,Ellq,0.6161827178,0.6973668713,0.0720373604,0.1835469385,0,2
0000001-X-20070627-164034-X00000021-3,Ellq,0.4365696791,0.7146129319,0.0585903697,0.1244177548,0,2
0000001-X-20070627-164034-X00000021-3,Ellq,0.1585056849,0.6536359125,0.0288149270,0.1231858968,0,2
0000001-X-20070627-164034-X00000021-3,Ellq,0.8260513619,0.7109174066,0.0614717076,0.1293451868,0,2
0000001-X-20070627-164034-X00000021-3,Ellq,0.7626585471,0.2292605109,0.0749188122,0.1860107154,0,2
0000001-X-20070627-164034-X00000021-3,Ellq,0.5719998353,0.2508180440,0.0489853655,0.1281133531,0,2
0000001-X-20070709-110322-X00000054-3,damitak,0.7283488057,0.7049581804,0.0589648316,0.1143593097,0,3
0000001-X-20070709-110322-X00000054-3,damitak,0.4527779101,0.7265936529,0.0637784278,0.1390856337,0,3
0000001-X-20070709-110322-X00000054-3,damitak,0.2728746371,0.6980038376,0.0385077041,0.1313586514,0,3
0000001-X-20070709-110322-X00000054-3,damitak,0.8908032348,0.2027044365,0.0517447227,0.1143592853,1,3
0000001-X-20070709-110322-X00000054-3,andrven,0.2547189518,0.7489534841,0.1015942543,0.1360859684,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.0923390044,0.7326260911,0.0748205494,0.1267413345,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.4459689323,0.7635755333,0.0921744254,0.1171391703,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.7364216945,0.7846258208,0.1178206066,0.1692512702,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.3693947542,0.1921605216,0.0971751605,0.1181179685,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.1956786348,0.1258111775,0.0752956172,0.1154516509,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.7781088204,0.1449891481,0.1055612921,0.1639394279,0,3
0000001-X-20070709-110322-X00000054-3,andrven,0.5309217458,0.1603988605,0.0973568200,0.1792465039,0,3
0000001-X-20070709-110322-X00000054-3,lrcampbell,0.3411111618,0.3201527775,0.0364768392,0.0387740857,1,3
0000001-X-20070709-110322-X00000054-3,lrcampbell,0.5193114245,0.3184511232,0.0338987888,0.0434967603,1,3
0000001-X-20070814-115210-X00000038-3,k_patel,0.4900111759,0.2369516351,0.1260430425,0.1889879034,0,3
0000001-X-20070814-115210-X00000038-3,k_patel,0.7698745775,0.2273093969,0.0836305006,0.1558185902,0,3
0000001-X-20070814-115210-X00000038-3,k_patel,0.3048293982,0.2496794001,0.1296271921,0.1326772405,0,3
0000001-X-20070814-115210-X00000038-3,khooshbu.a.joshi,0.3044769706,0.3028067777,0.1406232676,0.4234162540,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.7272006467,0.7142369009,0.0774856348,0.1240003656,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.4517486629,0.7209231896,0.0727608741,0.0984709175,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.2249614218,0.7190996296,0.0349630545,0.1118434949,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.7205860426,0.2297844313,0.0510271421,0.1641181468,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.4763172552,0.2498432974,0.0652013102,0.1361572853,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.3081167486,0.2437648620,0.0784305756,0.1629024402,0,3
0000001-X-20070814-115210-X00000038-3,ruirasjudith,0.1455858912,0.2249216658,0.0727609026,0.1689809000,0,3
0000001-X-20070827-160604-X00000055-3,Agustinclossirrazabal,0.4057068586,0.2276570973,0.1354954952,0.1454468546,1,6
0000001-X-20070827-160604-X00000055-3,chrispsimmons,0.4095481439,0.2337754853,0.1249715578,0.1466717755,1,6
0000001-X-20070827-160604-X00000055-3,chrispsimmons,0.5405114726,0.5660092344,0.0992924617,0.2555644012,1,6
0000001-X-20070827-160604-X00000055-3,chrispsimmons,0.4300914071,0.6354561128,0.1249714897,0.1500052026,1,6
0000001-X-20070827-160604-X00000055-3,chrispsimmons,0.3556220694,0.5676759756,0.0855969755,0.1588943857,1,6
0000001-X-20070827-160604-X00000055-3,chrispsimmons,0.3855809581,0.0998819409,0.1763296818,0.0455571463,1,6
0000001-X-20070827-160604-X00000055-3,lizmtz,0.3370863575,0.3391957041,0.1616832006,0.2297331041,0,6
0000001-X-20070827-160604-X00000055-3,lizmtz,0.5664508866,0.3320331601,0.1762329238,0.1889860206,0,6
0000001-X-20070827-160604-X00000055-3,gracelltt,0.4108879064,0.2314593568,0.1187133449,0.1316326048,1,6
0000001-X-20070827-160604-X00000055-3,damitak,0.3815463097,0.1957501358,0.2857174060,0.2549903307,1,6
0000001-X-20070827-160604-X00000055-3,damitak,0.2982120578,0.3696071884,0.2142879694,0.1050869711,0,6
0000001-X-20070827-160604-X00000055-3,adj,0.5387885903,0.2686305508,0.0786720029,0.1929813943,0,6
0000001-X-20070827-160604-X00000055-3,adj,0.3179293306,0.2848015328,0.1373319084,0.2025151563,0,6
0000001-X-20070827-160604-X00000055-3,adj,0.0955240575,0.3220254923,0.0703697800,0.1781798389,0,6
0000001-X-20070827-163003-X0000002A-3,Agustinclossirrazabal,0.4205896393,0.1566249099,0.1319396221,0.1454468500,1,6
0000001-X-20070827-163003-X0000002A-3,chrispsimmons,0.4327386427,0.1707100764,0.1398996864,0.1450698987,1,6
0000001-X-20070827-163003-X0000002A-3,gracelltt,0.4253397020,0.1655023444,0.1290004683,0.1383996743,1,6
0000001-X-20070827-163003-X0000002A-3,NikEverse,0.4137074640,0.1598303699,0.1010098345,0.1235370217,1,6
0000001-X-20070827-163003-X0000002A-3,NikEverse,0.1109970067,0.3278189641,0.1384157478,0.2387616896,0,6
0000001-X-20070827-163003-X0000002A-3,NikEverse,0.3190275066,0.3232395792,0.1474227478,0.2965130227,0,6
0000001-X-20070827-163003-X0000002A-3,NikEverse,0.5434352452,0.2763849931,0.0990585891,0.3616518437,0,6
0000001-X-20070827-163003-X0000002A-3,NikEverse,0.7534909307,0.3625858581,0.1545803160,0.3351126988,0,6
0000001-X-20070827-163003-X0000002A-3,Kacey-Han,0.4237902429,0.1606669168,0.1096050267,0.1433049617,1,6
0000001-X-20070827-163003-X0000002A-3,Kacey-Han,0.3040678274,0.2758620780,0.1129774924,0.2149574760,0,6
0000001-X-20070827-163003-X0000002A-3,Kacey-Han,0.5376108646,0.2361776148,0.1214086654,0.1620448547,0,6
0000001-X-20070827-163003-X0000002A-3,ruirasjudith,0.4171311399,0.1726469987,0.1078573913,0.1398043542,1,6
0000001-X-20070827-163003-X0000002A-3,ruirasjudith,0.5287077285,0.1817646655,0.0892613188,0.2771773471,0,6
0000001-X-20070827-163003-X0000002A-3,ruirasjudith,0.3092737059,0.2109412170,0.0706651950,0.2431379963,0,6
0000001-X-20070827-163003-X0000002A-3,ruirasjudith,0.1037867013,0.2723335836,0.0688055579,0.1470985022,0,6
0000001-X-20070827-163003-X0000002A-3,ruirasjudith,0.7602294033,0.2364707042,0.0836824799,0.1337258826,0,6
0000001-X-20070903-111248-X0000004A-3,Agustinclossirrazabal,0.8357423095,0.1168807168,0.0589452454,0.1640505298,0,5
0000001-X-20070903-111248-X0000004A-3,chrispsimmons,0.4007415676,0.3156185888,0.0774542995,0.0700024266,1,5
0000001-X-20070903-111248-X0000004A-3,chrispsimmons,0.1055546843,0.6767422338,0.0585210015,0.0833361718,1,5
0000001-X-20070903-111248-X0000004A-3,gracelltt,0.8294206532,0.0858767048,0.0367174691,0.1041703132,0,5
0000001-X-20070903-111248-X0000004A-3,Harshavardhani,0.7239374164,0.7776729707,0.0685989408,0.1945859355,0,5
0000001-X-20070903-111248-X0000004A-3,Harshavardhani,0.4375885410,0.7830408650,0.0592446265,0.1328552738,0,5
0000001-X-20070903-111248-X0000004A-3,Harshavardhani,0.2442640677,0.7427816576,0.0384570663,0.1301713513,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.5220680594,0.2018235607,0.0715594700,0.1106278204,1,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.8290203602,0.1234115478,0.0527279703,0.1361573004,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.6279948781,0.2127647646,0.0461369359,0.1470985166,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.7367463359,0.1726469901,0.0677931700,0.0887453756,1,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.3930728109,0.2310001250,0.0696763009,0.1470985166,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.2184113426,0.2109412224,0.0649684546,0.1774907635,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.0710554224,0.1538037731,0.0489617037,0.1361572696,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.7207396089,0.7154525511,0.0640268320,0.1434513707,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.4359142868,0.7349035940,0.0725009592,0.1580397083,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.2504247586,0.7002564461,0.0706178473,0.1738436791,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.9829672266,0.6583151540,0.0310718124,0.2018045733,0,5
0000001-X-20070903-111248-X0000004A-3,ruirasjudith,0.8671539898,0.7160604169,0.1289952294,0.1227847192,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.3871712530,0.5761144324,0.2562558710,0.1124798352,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.6790182640,0.4983246043,0.0332183547,0.0473046025,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.6046724156,0.7768962619,0.1660918318,0.0283827383,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.2084248861,0.9676915422,0.0822550456,0.0504583045,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.9545870536,0.7506159143,0.0908258929,0.1187870847,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.8870284308,0.6076508534,0.1455280994,0.0725337548,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.1823247891,0.6365591894,0.1218006170,0.0819946675,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,chrispsimmons,0.4923627581,0.8976462449,0.1534372675,0.2047075103,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,EVerse1,0.8162351190,0.2670889456,0.2013888114,0.1035938698,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,EVerse1,0.4691044108,0.4180457972,0.2491548084,0.1509817775,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,AC7733,0.6272167969,0.3143821089,0.2302018229,0.3491507904,0,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,AC7733,0.2428128124,0.4497970002,0.2676509167,0.3989249314,0,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,amandanicoletta,0.5912310791,0.6625362155,0.4451875814,0.2019417292,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,amandanicoletta,0.8304191371,0.5392410471,0.3065838332,0.2508523289,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,amandanicoletta,0.1772443390,0.7110463589,0.1998733593,0.2838939812,1,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,amandanicoletta,0.6863959176,0.3864363658,0.3978158424,0.3831848145,0,5
0000001-X-20120712-172918-XYKQF9HCF8+E-3,gracelltt,0.4095943778,0.5871847998,0.2138998558,0.1257754942,1,5
0000001-X-20120712-173523-XOGKUMENR+KO-3,chrispsimmons,0.1672974105,0.5824217012,0.2246193368,0.1292993087,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,chrispsimmons,0.4844535900,0.7516671483,0.0901640392,0.0851482923,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,chrispsimmons,0.1340790449,0.7684865445,0.0727639771,0.0388948465,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,chrispsimmons,0.3381347075,0.8520580437,0.0569457427,0.0525606952,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,chrispsimmons,0.4306715030,0.0586298013,0.6501306734,0.1172596026,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,chrispsimmons,0.8134734817,0.3979337089,0.0711822219,0.0588679833,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,Microsoft.Nicampbe,0.5377771723,0.3921505602,0.1456701951,0.2484405324,0,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.6764154925,0.9172571110,0.2853746977,0.0875296677,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.1184716661,0.9458258134,0.2085429437,0.0887454262,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.3956142026,0.9209041933,0.1225646682,0.1385886663,0,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.6416583252,0.7257859242,0.1207353864,0.0474118776,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.3132946777,0.4656282835,0.1262233770,0.1033336784,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.7486738223,0.3683730596,0.1225646973,0.1154905488,1,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.5483627755,0.4218634304,0.0951249186,0.2978440297,0,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.0956051064,0.4018046029,0.0676850146,0.1993731728,0,3
0000001-X-20120712-173523-XOGKUMENR+KO-3,ruirasjudith,0.3160386585,0.7263937648,0.3512302072,0.0802355803,1,3
0000001-X-20120712-174146-XJJVV9SOZQBD-3,Debreziner,0.2072082810,0.8317045574,0.2818137323,0.3365908852,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,Debreziner,0.4299319749,0.6399740292,0.1111093576,0.1235769924,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.8054225377,0.2848933256,0.0635377139,0.0933382252,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.8982210286,0.2960050172,0.0919624256,0.0933382058,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.7452289400,0.3071166992,0.0668816848,0.1111168970,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.5763523647,0.4654582929,0.1203872535,0.1588971874,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.1432927813,0.3337847456,0.0702258155,0.0644477748,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.3013010588,0.5326839978,0.1621883283,0.3444623730,1,6
0000001-X-20120712-174146-XJJVV9SOZQBD-3,chrispsimmons,0.1884380322,0.8082539232,0.2809035347,0.3711304484,1,6
